No.,DexID,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Legendary,Sprite,Good Starter
458,0458,Mantyke,Water,Flying,3,1,3,2,4,2,4,1,3,3,6,Swift Swim,Water Absorb,Water Veil,,Yes,,Beginner,,,mantyke.png,Yes
459,0459,Snover,Grass,Ice,3,2,4,1,3,2,4,2,4,2,4,Snow Warning,,Soundproof,,Yes,,Amateur,,,snover.png,Yes
460,0460,Abomasnow,Grass,Ice,4,2,5,2,4,2,5,2,5,2,5,Snow Warning,,Soundproof,,,Yes,Ace,,,abomasnow.png,
460,0460M1,Mega-Abomasnow,Grass,Ice,5,3,7,1,2,3,6,3,7,3,6,Snow Warning,,,,,,Pro,,,abomasnow-mega.png,
461,0461,Weavile,Dark,Ice,4,3,7,3,7,2,4,2,4,2,5,Pressure,,Pickpocket,,,,Amateur,,,weavile.png,
462,0462,Magnezone,Electric,Steel,5,2,5,2,4,3,6,3,7,2,5,Magnet Pull,Sturdy,Analytic,,,,Ace,N,,magnezone.png,
463,0463,Lickilicky,Normal,,5,2,5,2,4,3,6,2,5,3,6,Own Tempo,Oblivious,Cloud Nine,,,,Ace,,,lickilicky.png,
464,0464,Rhyperior,Ground,Rock,6,3,7,1,3,3,7,2,4,2,4,Lightning Rod,Solid Rock,Reckless,,,,Pro,,,rhyperior.png,
465,0465,Tangrowth,Grass,,5,3,6,2,4,3,7,3,6,2,4,Chlorophyll,Leaf Guard,Regenerator,,,,Ace,,,tangrowth.png,
466,0466,Electivire,Electric,,5,3,7,3,6,2,4,3,6,2,5,Motor Drive,,Vital Spirit,,,,Ace,,,electivire.png,
467,0467,Magmortar,Fire,,5,3,6,2,5,2,4,3,7,3,6,Flame Body,,Vital Spirit,,,,Ace,,,magmortar.png,
468,0468,Togekiss,Fairy,Flying,5,2,4,2,5,3,6,3,7,3,6,Hustle,Serene Grace,Super Luck,,,,Ace,,,togekiss.png,
469,0469,Yanmega,Bug,Flying,4,2,5,3,6,2,5,3,6,2,4,Speed Boost,Compound Eyes,Frisk,,,,Ace,,,yanmega.png,
470,0470,Leafeon,Grass,,4,3,6,3,6,3,7,2,4,2,4,Leaf Guard,,Chlorophyll,,,,Amateur,,,leafeon.png,
471,0471,Glaceon,Ice,,4,2,4,2,4,3,6,3,7,3,6,Snow Cloak,,Ice Body,,,,Amateur,,,glaceon.png,
472,0472,Gliscor,Ground,Flying,5,3,6,3,6,3,7,2,4,2,5,Hyper Cutter,Sand Veil,Poison Heal,,,,Ace,,,gliscor.png,
473,0473,Mamoswine,Ice,Ground,6,3,7,2,5,2,5,2,5,2,4,Oblivious,Snow Cloak,Thick Fat,,,,Ace,,,mamoswine.png,
474,0474,Porygon-Z,Normal,,5,2,5,2,5,2,5,3,7,2,5,Adaptability,Download,Analytic,,,,Ace,N,,porygon-z.png,
475,0475,Gallade,Psychic,Fighting,5,3,7,2,5,2,4,2,4,3,6,Steadfast,,Justified,,,Yes,Ace,M,,gallade.png,
475,0475M1,Mega-Gallade,Psychic,Fighting,6,4,8,3,6,3,6,2,4,3,6,Inner Focus,,,,,,Pro,M,,gallade-mega.png,
476,0476,Probopass,Rock,Steel,4,2,4,2,5,4,8,2,5,4,8,Sturdy,Magnet Pull,Sand Force,,,,Amateur,,,probopass.png,
477,0477,Dusknoir,Ghost,,4,3,6,2,4,3,7,2,4,3,7,Pressure,,Frisk,,,,Ace,,,dusknoir.png,
478,0478,Froslass,Ice,Ghost,4,2,5,3,6,2,5,2,5,2,5,Snow Cloak,,Cursed Body,,,Yes,Ace,F,,froslass.png,
479,0479,Rotom,Electric,Ghost,4,2,4,2,5,2,5,3,6,2,5,Levitate,,,,,Yes,Ace,N,,rotom.png,
479,0479F1,Rotom Heat,Electric,Fire,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N,,rotom-heat.png,
479,0479F2,Rotom Fan,Electric,Flying,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N,,rotom-fan.png,
479,0479F3,Rotom Mow,Electric,Grass,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N,,rotom-mow.png,
479,0479F4,Rotom Frost,Electric,Ice,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N,,rotom-frost.png,
479,0479F5,Rotom Wash,Electric,Water,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N,,rotom-wash.png,
479,0479F6,Rotom Dex,Electric,,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N,,rotom.png,
480,0480,Uxie,Psychic,,4,5,5,6,6,7,7,5,5,7,7,Levitate,,,,,,Master,N,Yes,uxie.png,
481,0481,Mesprit,Psychic,,4,6,6,5,5,6,6,6,6,6,6,Levitate,,,,,,Master,N,Yes,mesprit.png,
482,0482,Azelf,Psychic,,4,7,7,7,7,5,5,7,7,5,5,Levitate,,,,,,Master,N,Yes,azelf.png,
483,0483,Dialga,Steel,Dragon,7,7,7,5,5,7,7,8,8,6,6,Pressure,,Telepathy,,,,Master,N,Yes,dialga.png,
484,0484,Palkia,Water,Dragon,5,7,7,6,6,6,6,8,8,7,7,Pressure,,Telepathy,,,,Master,N,Yes,palkia.png,
485,0485,Heatran,Fire,Steel,4,5,5,5,5,6,6,7,7,6,6,Flash Fire,,Flame Body,,,,Ace,,Yes,heatran.png,
486,0486,Regigigas,Normal,,6,8,8,6,6,6,6,5,5,6,6,Slow Start,,,,,Yes,Master,N,Yes,regigigas.png,
487,0487,Giratina,Ghost,Dragon,8,6,6,5,5,7,7,6,6,7,7,Pressure,,Telepathy,,,Yes,Master,N,Yes,giratina.png,
487,0487F1,Origin Giratina,Ghost,Dragon,8,7,7,5,5,6,6,7,7,6,6,Levitate,,,,,Yes,Master,N,Yes,giratina-origin.png,
488,0488,Cresselia,Psychic,,6,5,5,5,5,7,7,5,5,7,7,Levitate,,,,,,Pro,F,Yes,cresselia.png,
489,0489,Phione,Water,,4,2,5,2,5,2,5,2,5,2,5,Hydration,,,,,,Pro,N,,phione.png,
490,0490,Manaphy,Water,,5,6,6,6,6,6,6,6,6,6,6,Hydration,,,,,,Pro,N,Yes,manaphy.png,
491,0491,Darkrai,Dark,,4,5,5,7,7,5,5,7,7,5,5,Bad Dreams,,,,,,Pro,N,Yes,darkrai.png,
492,0492,Shaymin,Grass,,5,6,6,6,6,6,6,6,6,6,6,Natural Cure,,,,,Yes,Pro,N,Yes,shaymin.png,
492,0492F1,Sky Shaymin,Grass,Flying,5,6,6,7,7,5,5,7,7,5,5,Serene Grace,,,,,Yes,Pro,N,Yes,shaymin-sky.png,
493,0493,Arceus,Normal,,6,12,12,12,12,12,12,12,12,12,12,Multitype,,,,,Yes,Master,N,Yes,arceus.png,
494,0494,Victini,Psychic,Fire,5,6,6,6,6,6,6,6,6,6,6,Victory Star,,,,,,Pro,N,Yes,victini.png,
495,0495,Snivy,Grass,,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Contrary,,Yes,,Beginner,,,snivy.png,Yes
496,0496,Servine,Grass,,4,2,4,2,5,2,5,2,4,2,5,Overgrow,,Contrary,,Yes,,Amateur,,,servine.png,
497,0497,Serperior,Grass,,5,2,5,3,6,3,6,2,5,3,6,Overgrow,,Contrary,,,,Ace,,,serperior.png,
498,0498,Tepig,Fire,,3,2,4,2,4,2,4,2,4,2,4,Blaze,,Thick Fat,,Yes,,Beginner,,,tepig.png,Yes
499,0499,Pignite,Fire,Fighting,4,2,5,2,4,2,4,2,5,2,4,Blaze,,Thick Fat,,Yes,,Amateur,,,pignite.png,
500,0500,Emboar,Fire,Fighting,5,3,7,2,4,2,4,3,6,2,4,Blaze,,Reckless,,,,Ace,,,emboar.png,
501,0501,Oshawott,Water,,3,2,4,2,4,2,4,2,4,2,4,Torrent,,Shell Armor,,Yes,,Starter,,,oshawott.png,Yes
502,0502,Dewott,Water,,4,2,5,2,4,2,4,2,5,2,4,Torrent,,Shell Armor,,Yes,,Amateur,,,dewott.png,
503,0503,Samurott,Water,,5,3,6,2,5,2,5,3,6,2,5,Torrent,,Shell Armor,,,,Ace,,,samurott.png,
504,0504,Patrat,Normal,,3,2,4,1,3,1,3,1,3,1,3,Run Away,Keen Eye,Analytic,,Yes,,Beginner,,,patrat.png,Yes
505,0505,Watchog,Normal,,4,2,5,2,5,2,4,2,4,2,4,Run Away,Keen Eye,Analytic,,,,Amateur,,,watchog.png,
506,0506,Lillipup,Normal,,3,2,4,2,4,2,4,1,3,2,4,Vital Spirit,Sand Rush,Scrappy,,Yes,,Starter,,,lillipup.png,Yes
507,0507,Herdier,Normal,,4,2,5,2,4,2,4,1,3,2,4,Intimidate,Sand Rush,Scrappy,,Yes,,Amateur,,,herdier.png,
508,0508,Stoutland,Normal,,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Sand Rush,Scrappy,,,,Amateur,,,stoutland.png,
509,0509,Purrloin,Dark,,3,2,4,2,4,1,3,2,4,1,3,Limber,Unburden,Prankster,,Yes,,Beginner,,,purrloin.png,Yes
510,0510,Liepard,Dark,,4,2,5,2,6,2,4,2,5,2,4,Limber,Unburden,Prankster,,,,Amateur,,,liepard.png,
511,0511,Pansage,Grass,,3,2,4,2,4,2,4,2,4,2,4,Gluttony,,Overgrow,,Yes,,Beginner,,,pansage.png,Yes
512,0512,Simisage,Grass,,4,3,6,3,6,2,4,3,6,2,4,Gluttony,,Overgrow,,,,Amateur,,,simisage.png,
513,0513,Pansear,Fire,,3,2,4,2,4,2,4,2,4,2,4,Gluttony,,Blaze,,Yes,,Beginner,,,pansear.png,Yes
514,0514,Simisear,Fire,,4,3,6,3,6,2,4,3,6,2,4,Gluttony,,Blaze,,,,Amateur,,,simisear.png,
515,0515,Panpour,Water,,3,2,4,2,4,2,4,2,4,2,4,Gluttony,,Torrent,,Yes,,Beginner,,,panpour.png,Yes
516,0516,Simipour,Water,,4,3,6,3,6,2,4,3,6,2,4,Gluttony,,Torrent,,,,Amateur,,,simipour.png,
517,0517,Munna,Psychic,,3,1,3,1,3,2,4,2,4,2,4,Forewarn,Synchronize,Telepathy,,Yes,,Beginner,,,munna.png,Yes
518,0518,Musharna,Psychic,,6,2,4,1,3,2,5,3,6,3,6,Forewarn,Synchronize,Telepathy,,,,Amateur,,,musharna.png,
519,0519,Pidove,Normal,Flying,3,2,4,1,3,2,4,1,3,1,3,Big Pecks,Super Luck,Rivalry,,Yes,,Starter,,,pidove.png,Yes
520,0520,Tranquill,Normal,Flying,4,2,5,2,4,2,4,2,4,1,3,Big Pecks,Super Luck,Rivalry,,Yes,,Amateur,,,tranquill.png,
521,0521,Unfezant,Normal,Flying,5,3,6,2,5,2,5,2,4,2,4,Big Pecks,Super Luck,Rivalry,,,,Amateur,,,unfezant.png,
522,0522,Blitzle,Electric,,3,2,4,2,5,1,3,2,4,1,3,Lightning Rod,Motor Drive,Sap Sipper,,Yes,,Beginner,,,blitzle.png,Yes
523,0523,Zebstrika,Electric,,4,3,6,3,6,2,4,2,5,2,4,Lightning Rod,Motor Drive,Sap Sipper,,,Yes,Amateur,,,zebstrika.png,
524,0524,Roggenrola,Rock,,3,2,5,1,2,2,5,1,3,1,3,Sturdy,Weak Armor,Sand Force,,Yes,,Beginner,,,roggenrola.png,Yes
525,0525,Boldore,Rock,,4,3,6,1,2,3,6,2,4,1,3,Sturdy,Weak Armor,Sand Force,,Yes,,Amateur,,,boldore.png,
526,0526,Gigalith,Rock,,5,3,7,1,3,3,7,2,4,2,5,Sturdy,Sand Stream,Sand Force,,,,Ace,,,gigalith.png,
527,0527,Woobat,Psychic,Flying,3,2,4,2,5,1,3,2,4,1,3,Unaware,Klutz,Simple,,Yes,,Beginner,,,woobat.png,Yes
528,0528,Swoobat,Psychic,Flying,4,2,4,3,6,2,4,2,5,2,4,Unaware,Klutz,Simple,,,,Amateur,,,swoobat.png,
529,0529,Drilbur,Ground,,3,2,5,2,4,1,3,1,3,2,4,Sand Rush,Sand Force,Mold Breaker,,Yes,,Beginner,,,drilbur.png,Yes
530,0530,Excadrill,Ground,Steel,5,3,7,2,5,2,4,2,4,2,4,Sand Rush,Sand Force,Mold Breaker,,,,Amateur,,,excadrill.png,
531,0531,Audino,Normal,,5,2,4,2,4,2,5,2,4,2,5,Healer,Regenerator,Klutz,,,Yes,Beginner,,,audino.png,
531,0531M1,Mega-Audino,Normal,Fairy,6,2,4,2,4,3,7,2,5,3,7,Inner Focus,,,,,,Amateur,,,audino-mega.png,
532,0532,Timburr,Fighting,,3,2,5,1,3,2,4,1,3,1,3,Guts,Sheer Force,Iron Fist,,Yes,,Beginner,,,timburr.png,Yes
533,0533,Gurdurr,Fighting,,4,3,6,1,3,2,5,1,3,2,4,Guts,Sheer Force,Iron Fist,,Yes,,Amateur,,,gurdurr.png,
534,0534,Conkeldurr,Fighting,,6,3,7,2,4,3,6,2,4,2,4,Guts,Sheer Force,Iron Fist,,,,Ace,,,conkeldurr.png,
535,0535,Tympole,Water,,3,2,4,1,3,2,4,2,4,1,3,Swift Swim,Hydration,Water Absorb,,Yes,,Starter,,,tympole.png,Yes
536,0536,Palpitoad,Water,Ground,4,2,4,2,4,2,4,2,4,2,4,Swift Swim,Hydration,Water Absorb,,Yes,,Beginner,,,palpitoad.png,
537,0537,Seismitoad,Water,Ground,6,2,6,2,5,2,5,2,5,2,5,Swift Swim,Poison Touch,Water Absorb,,,,Amateur,,,seismitoad.png,
538,0538,Throh,Fighting,,6,3,7,2,4,2,5,1,3,2,5,Guts,Inner Focus,Mold Breaker,,,,Amateur,M,,throh.png,
539,0539,Sawk,Fighting,,4,3,7,2,5,2,5,1,3,2,5,Sturdy,Inner Focus,Mold Breaker,,,,Amateur,M,,sawk.png,
540,0540,Sewaddle,Bug,Grass,3,2,4,1,3,2,5,1,3,2,4,Swarm,Chlorophyll,Overcoat,,Yes,,Starter,,,sewaddle.png,Yes
541,0541,Swadloon,Bug,Grass,4,2,4,1,3,2,5,2,4,2,5,Leaf Guard,Chlorophyll,Overcoat,,Yes,,Beginner,,,swadloon.png,
542,0542,Leavanny,Bug,Grass,5,3,6,2,5,2,5,2,5,2,5,Swarm,Chlorophyll,Overcoat,,,,Amateur,,,leavanny.png,
543,0543,Venipede,Bug,Poison,3,2,4,2,4,2,4,1,3,1,3,Poison Point,Swarm,Speed Boost,,Yes,,Amateur,,,venipede.png,Yes
544,0544,Whirlipede,Bug,Poison,4,2,4,2,4,3,6,1,3,2,5,Poison Point,Swarm,Speed Boost,,Yes,,Ace,,,whirlipede.png,
545,0545,Scolipede,Bug,Poison,8,2,5,3,6,2,5,1,3,2,4,Poison Point,Swarm,Speed Boost,,,,Pro,,,scolipede.png,
546,0546,Cottonee,Grass,Fairy,3,1,3,2,4,2,4,1,3,2,4,Prankster,Infiltrator,Chlorophyll,,Yes,,Beginner,,,cottonee.png,Yes
547,0547,Whimsicott,Grass,Fairy,4,2,4,3,6,2,5,2,5,2,5,Prankster,Infiltrator,Chlorophyll,,,,Amateur,,,whimsicott.png,
548,0548,Petilil,Grass,,3,1,3,1,3,2,4,2,5,2,4,Chlorophyll,Own Tempo,Leaf Guard,,Yes,,Beginner,F,,petilil.png,Yes
549,0549,Lilligant,Grass,,4,2,4,2,5,2,5,3,6,2,5,Chlorophyll,Own Tempo,Leaf Guard,,,,Amateur,F,,lilligant.png,
550,0550,Basculin,Water,,4,2,5,2,5,2,4,2,5,2,4,Reckless,Adaptability,Mold Breaker,,,Yes,Amateur,,,basculin.png,
551,0551,Sandile,Ground,Dark,3,2,5,2,4,1,3,1,3,1,3,Intimidate,Moxie,Anger Point,,Yes,,Beginner,,,sandile.png,Yes
552,0552,Krokorok,Ground,Dark,4,2,5,2,5,2,4,2,4,2,4,Intimidate,Moxie,Anger Point,,Yes,,Amateur,,,krokorok.png,
553,0553,Krookodile,Ground,Dark,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Moxie,Anger Point,,,,Ace,,,krookodile.png,
554,0554,Darumaka,Fire,,3,2,5,2,4,2,4,1,2,2,4,Hustle,,Inner Focus,,Yes,,Beginner,,,darumaka.png,Yes
554,0554G,Galarian Darumaka,Ice,,3,3,7,3,6,2,4,1,3,2,4,Hustle,Inner Focus,,,,,Beginner,,,darumaka-galar.png,Yes
555,0555,Darmanitan,Fire,,5,3,7,2,5,2,4,1,3,2,4,Sheer Force,,Zen Mode,,,Yes,Amateur,,,darmanitan.png,
555,0555G,Galarian Darmanitan,Ice,,4,3,6,2,4,3,6,1,3,2,4,Gorilla Tactics,Zen Mode,,,,Yes,Amateur,,,darmanitan-galar.png,
555,0555F1,Zen Darmanitan,Fire,Psychic,5,1,3,2,4,3,6,3,7,3,6,Zen Mode,,,,,Yes,Amateur,,,darmanitan-zen.png,
555,0555GF1,Galarian Zen Darmanitan,Ice,Fire,4,4,8,3,7,2,4,1,3,2,4,Gorilla Tactics,Zen Mode,,,,Yes,Amateur,,,darmanitan-galar-zen.png,
556,0556,Maractus,Grass,,4,2,5,2,4,2,4,3,6,2,4,Water Absorb,Chlorophyll,Storm Drain,,,,Amateur,,,maractus.png,
557,0557,Dwebble,Bug,Rock,3,2,4,2,4,2,5,1,3,1,3,Sturdy,Shell Armor,Weak Armor,,Yes,,Beginner,,,dwebble.png,Yes
558,0558,Crustle,Bug,Rock,4,3,6,2,4,3,7,2,4,2,5,Sturdy,Shell Armor,Weak Armor,,,,Amateur,,,crustle.png,
559,0559,Scraggy,Dark,Fighting,3,2,5,2,4,2,5,1,3,2,5,Shed Skin,Moxie,Intimidate,,Yes,,Beginner,,,scraggy.png,Yes
560,0560,Scrafty,Dark,Fighting,4,2,5,2,4,3,6,2,4,3,6,Shed Skin,Moxie,Intimidate,,,,Amateur,,,scrafty.png,
561,0561,Sigilyph,Psychic,Flying,4,2,4,3,6,2,5,3,6,2,5,Wonder Skin,Magic Guard,Tinted Lens,,,,Ace,,,sigilyph.png,
562,0562,Yamask,Ghost,,3,1,3,1,3,2,5,2,4,2,4,Mummy,,,,Yes,,Amateur,,,yamask.png,Yes
562,0562G,Galarian Yamask,Ground,Ghost,3,2,4,1,3,2,5,1,3,2,4,Wandering Spirit,,,,Yes,,Amateur,,,yamask-galar.png,Yes
563,0563,Cofagrigus,Ghost,,4,2,4,1,3,4,8,3,6,3,6,Mummy,,,,,,Pro,,,cofagrigus.png,
564,0564,Tirtouga,Water,Rock,3,2,5,1,3,3,6,2,4,2,4,Solid Rock,Sturdy,Swift Swim,,Yes,,Amateur,,,tirtouga.png,
565,0565,Carracosta,Water,Rock,4,3,6,1,3,3,7,2,5,2,4,Solid Rock,Sturdy,Swift Swim,,,,Ace,,,carracosta.png,
566,0566,Archen,Rock,Flying,3,3,6,2,5,2,4,2,5,2,4,Defeatist,,,,Yes,,Amateur,,,archen.png,
567,0567,Archeops,Rock,Flying,4,3,7,3,6,2,4,3,6,2,4,Defeatist,,,,,,Ace,,,archeops.png,
568,0568,Trubbish,Poison,,3,2,4,2,4,2,4,1,3,2,4,Stench,Sticky Hold,Aftermath,,Yes,,Beginner,,,trubbish.png,Yes
569,0569,Garbodor,Poison,,4,3,6,2,5,2,5,2,4,2,5,Stench,Weak Armor,Aftermath,,,,Amateur,,,garbodor.png,
570,0570,Zorua,Dark,,3,2,4,2,4,1,3,2,5,1,3,Illusion,,,,Yes,,Beginner,,,zorua.png,Yes
571,0571,Zoroark,Dark,,4,3,6,3,6,2,4,3,7,2,4,Illusion,,,,,Yes,Amateur,,,zoroark.png,
572,0572,Minccino,Normal,,3,2,4,2,5,1,3,1,3,1,3,Cute Charm,Technician,Skill Link,,Yes,,Beginner,,,minccino.png,Yes
573,0573,Cinccino,Normal,,4,3,6,3,6,2,4,2,4,2,4,Cute Charm,Technician,Skill Link,,,,Amateur,,,cinccino.png,
574,0574,Gothita,Psychic,,3,1,3,2,4,2,4,2,4,2,4,Frisk,Competitive,Shadow Tag,,Yes,,Starter,,,gothita.png,Yes
575,0575,Gothorita,Psychic,,4,2,4,2,4,2,5,2,5,2,5,Frisk,Competitive,Shadow Tag,,Yes,,Amateur,,,gothorita.png,
576,0576,Gothitelle,Psychic,,5,2,4,2,4,3,6,3,6,3,6,Frisk,Competitive,Shadow Tag,,,Yes,Ace,,,gothitelle.png,
577,0577,Solosis,Psychic,,3,1,3,1,3,1,3,3,6,2,4,Overcoat,Magic Guard,Regenerator,,Yes,,Beginner,,,solosis.png,Yes
578,0578,Duosion,Psychic,,4,1,3,1,3,2,4,3,7,2,4,Overcoat,Magic Guard,Regenerator,,Yes,,Amateur,,,duosion.png,
579,0579,Reuniclus,Psychic,,6,2,4,1,3,2,5,3,7,2,5,Overcoat,Magic Guard,Regenerator,,,,Ace,,,reuniclus.png,
580,0580,Ducklett,Water,Flying,3,1,3,2,4,2,4,1,3,2,4,Keen Eye,Big Pecks,Hydration,,Yes,,Beginner,,,ducklett.png,Yes
581,0581,Swanna,Water,Flying,4,2,5,3,6,2,5,2,5,2,4,Keen Eye,Big Pecks,Hydration,,,,Amateur,,,swanna.png,
582,0582,Vanillite,Ice,,3,2,4,1,3,2,4,2,4,2,4,Ice Body,Snow Cloak,Weak Armor,,Yes,,Beginner,,,vanillite.png,Yes
583,0583,Vanillish,Ice,,4,2,4,1,3,2,4,2,5,2,5,Ice Body,Snow Cloak,Weak Armor,,Yes,,Amateur,,,vanillish.png,
584,0584,Vanilluxe,Ice,,5,3,6,2,5,2,5,3,6,3,6,Ice Body,Snow Warning,Weak Armor,,,,Amateur,,,vanilluxe.png,
585,0585,Deerling,Normal,Grass,3,2,4,2,5,2,4,1,3,2,4,Chlorophyll,Sap Sipper,Serene Grace,,Yes,,Starter,,,deerling.png,Yes
586,0586,Sawsbuck,Normal,Grass,4,3,6,3,6,2,5,2,4,2,5,Chlorophyll,Sap Sipper,Serene Grace,,,,Amateur,,,sawsbuck.png,
587,0587,Emolga,Electric,Flying,4,2,5,3,6,2,4,2,5,2,4,Static,,Motor Drive,,,,Beginner,,,emolga.png,
588,0588,Karrablast,Bug,,3,2,5,2,4,2,4,1,3,2,4,Swarm,Shed Skin,No Guard,,Yes,,Beginner,,,karrablast.png,Yes
589,0589,Escavalier,Bug,Steel,4,3,7,1,3,3,6,2,4,3,6,Swarm,Shell Armor,Overcoat,,,,Amateur,,,escavalier.png,
590,0590,Foongus,Grass,Poison,3,2,4,1,2,2,4,2,4,2,4,Effect Spore,,Regenerator,,Yes,,Beginner,,,foongus.png,Yes
591,0591,Amoonguss,Grass,Poison,4,2,5,1,3,2,5,2,5,2,5,Effect Spore,,Regenerator,,,,Amateur,,,amoonguss.png,
592,0592,Frillish,Water,Ghost,4,1,3,1,3,2,4,2,4,2,5,Water Absorb,Cursed Body,Damp,,Yes,,Amateur,,,frillish.png,Yes
593,0593,Jellicent,Water,Ghost,5,2,4,2,4,2,5,2,5,3,6,Water Absorb,Cursed Body,Damp,,,,Ace,,,jellicent.png,
594,0594,Alomomola,Water,,8,2,5,2,4,2,5,1,3,2,4,Healer,Hydration,Regenerator,,,,Amateur,,,alomomola.png,
595,0595,Joltik,Bug,Electric,3,2,4,2,4,2,4,2,4,2,4,Compound Eyes,Unnerve,Swarm,,Yes,,Starter,,,joltik.png,Yes
596,0596,Galvantula,Bug,Electric,4,2,5,2,5,2,4,3,6,2,4,Compound Eyes,Unnerve,Swarm,,,,Amateur,,,galvantula.png,
597,0597,Ferroseed,Grass,Steel,3,2,4,1,2,2,5,1,3,2,5,Iron Barbs,,,,Yes,,Beginner,,,ferroseed.png,Yes
598,0598,Ferrothorn,Grass,Steel,4,3,6,1,3,3,7,2,4,3,6,Iron Barbs,,Anticipation,,,,Amateur,,,ferrothorn.png,
599,0599,Klink,Steel,,3,2,4,1,3,2,5,2,4,2,4,Plus,Minus,Clear Body,,Yes,,Beginner,N,,klink.png,
600,0600,Klang,Steel,,4,2,5,2,4,3,6,2,5,2,5,Plus,Minus,Clear Body,,Yes,,Amateur,N,,klang.png,
601,0601,Klinklang,Steel,,5,3,6,2,5,3,6,2,5,2,5,Plus,Minus,Clear Body,,,,Ace,N,,klinklang.png,
602,0602,Tynamo,Electric,,3,2,4,1,3,2,4,2,4,1,3,Levitate,,,,Yes,,Starter,,,tynamo.png,Yes
603,0603,Eelektrik,Electric,,4,2,5,1,3,2,5,2,5,2,5,Levitate,,,,Yes,,Beginner,,,eelektrik.png,
604,0604,Eelektross,Electric,,5,3,6,2,4,2,5,3,6,2,5,Levitate,,,,,,Amateur,,,eelektross.png,
605,0605,Elgyem,Psychic,,3,2,4,1,3,2,4,2,5,2,4,Telepathy,Synchronize,Analytic,,Yes,,Amateur,,,elgyem.png,Yes
606,0606,Beheeyem,Psychic,,4,2,5,1,3,2,5,3,7,3,6,Telepathy,Synchronize,Analytic,,,,Amateur,,,beheeyem.png,
607,0607,Litwick,Ghost,Fire,3,1,3,1,3,2,4,2,4,2,4,Flash Fire,Flame Body,Infiltrator,,Yes,,Beginner,,,litwick.png,Yes
608,0608,Lampent,Ghost,Fire,4,1,3,2,4,2,4,3,6,2,4,Flash Fire,Flame Body,Infiltrator,,Yes,,Amateur,,,lampent.png,
609,0609,Chandelure,Ghost,Fire,5,2,4,2,4,2,5,4,8,2,5,Flash Fire,Flame Body,Infiltrator,,,,Pro,,,chandelure.png,
610,0610,Axew,Dragon,,3,2,5,2,4,2,4,1,3,1,3,Rivalry,Mold Breaker,Unnerve,,Yes,,Amateur,,,axew.png,Yes
611,0611,Fraxure,Dragon,,4,3,6,2,4,2,5,1,3,2,4,Rivalry,Mold Breaker,Unnerve,,Yes,,Ace,,,fraxure.png,
612,0612,Haxorus,Dragon,,5,4,8,3,6,2,5,2,4,2,5,Rivalry,Mold Breaker,Unnerve,,,,Pro,,,haxorus.png,
613,0613,Cubchoo,Ice,,3,2,5,1,3,1,3,2,4,1,3,Snow Cloak,Slush Rush,Rattled,,Yes,,Beginner,,,cubchoo.png,Yes
614,0614,Beartic,Ice,,4,3,6,2,4,2,5,2,5,2,5,Snow Cloak,Slush Rush,Swift Swim,,,,Ace,,,beartic.png,
615,0615,Cryogonal,Ice,,4,2,4,3,6,1,3,3,6,3,7,Levitate,,,,,,Starter,N,,cryogonal.png,
616,0616,Shelmet,Bug,,3,1,3,1,3,2,5,1,3,2,4,Hydration,Shell Armor,Overcoat,,Yes,,Beginner,,,shelmet.png,Yes
617,0617,Accelgor,Bug,,4,2,5,4,8,1,3,3,6,2,4,Hydration,Sticky Hold,Unburden,,,,Amateur,,,accelgor.png,
618,0618,Stunfisk,Ground,Electric,5,2,4,1,3,2,5,2,5,3,6,Static,Limber,Sand Veil,,,Yes,Beginner,,,stunfisk.png,
618,0618G,Galarian Stunfisk,Ground,Steel,4,2,5,1,3,3,6,2,4,2,5,Mimicry,,,,,,Beginner,,,stunfisk-galar.png,
619,0619,Mienfoo,Fighting,,3,2,5,2,4,2,4,2,4,2,4,Inner Focus,Regenerator,Reckless,,Yes,,Beginner,,,mienfoo.png,Yes
620,0620,Mienshao,Fighting,,4,3,7,3,6,2,4,3,6,2,4,Inner Focus,Regenerator,Reckless,,,,Amateur,,,mienshao.png,
621,0621,Druddigon,Dragon,,4,3,7,2,5,2,4,2,4,2,5,Rough Skin,Sheer Force,Mold Breaker,,,,Pro,,,druddigon.png,
622,0622,Golett,Ground,Ghost,3,2,5,1,3,2,4,1,3,2,5,Iron Fist,Klutz,No Guard,,Yes,,Amateur,N,,golett.png,Yes
623,0623,Golurk,Ground,Ghost,4,3,7,2,4,2,5,2,4,2,5,Iron Fist,Klutz,No Guard,,,,Pro,N,,golurk.png,
